timestamp,min_lum,mean_lum,max_lum,diff_lum,amp_rms,amp_peak,ebu_r128_M
830.466667,0,77.2467,193,0.0475174,-29.735529755311703,-39.188390765294194,-36.599999599999954
830.5,0,77.3096,193,1.43153,-29.6805908946788,-39.43888115637156,-36.56
830.533333,0,77.2878,192,0.982319,-33.74685434875991,-42.437507160266314,-37.22865997999926
830.566667,0,77.2293,192,1.31976,-31.020138372544316,-42.407243235677676,-37.89734002000075
830.6,0,77.1658,192,1.17688,-27.55838050921985,-40.01958119533398,-38.566
830.633333,0,77.134,191,0.137743,-37.49014397233277,-45.80451695414853,-39.53199033999893
830.666667,0,77.1915,191,1.02059,-35.75479722200371,-47.24781522865995,-40.49800965999778
830.7,0,77.1618,191,0.911068,-39.295925522480594,-48.98358930089705,-41.464
830.733333,0,77.0939,191,1.02041,-37.04617397886736,-48.49492401350291,-41.98399480000001
830.766667,0,77.0206,191,0.920118,-38.90597319556675,-48.80022299146854,-42.50400519999999
830.8,0,77.0147,191,0.0529449,-37.52937793536861,-47.5596507780006,-43.024
830.833333,0,77.0123,192,0.88728,-32.79147015665745,-45.98989281085827,-43.35299671000076
830.866667,0,77.0005,192,1.48189,-36.70447744110743,-46.94343124970668,-43.68200329000037
830.9,0,77.0172,192,1.25581,-37.10940026732795,-47.427285403603435,-44.011
830.933333,0,76.96,192,1.18605,-27.875686,-43.989991,-43.97933365000004
830.966667,0,76.921,192,0.14876,-33.21004349176694,-40.58215530487597,-43.94766634999996
831.0,0,76.6629,193,1.9472,-33.21423001636149,-40.571173145495294,-43.916
831.033333,0,76.6909,192,1.31863,-32.66408105263988,-41.26997576243297,-42.93167651000109
831.066667,0,76.769,192,0.997547,-34.008984160301644,-42.15752138173903,-41.94732348999891
831.1,0,76.7595,191,0.998112,-31.007361380210135,-40.503678646980426,-40.963
831.133333,0,76.7341,191,0.160047,-29.10508659163027,-39.62685244913652,-40.57067059000044
831.166667,0,76.8133,189,1.29322,-29.14322894585098,-38.87310001560559,-40.178329410000906
831.2,0,76.912,190,1.20648,-28.65275649999389,-39.472581999996954,-39.786
831.233333,0,76.9321,199,1.18225,-29.654493116911215,-38.56807349791777,-39.829332900000004
831.266667,0,77.0366,201,1.18378,-32.61447316349159,-42.69604831976602,-39.872667099999994
831.3,0,77.028,201,0.0528049,-36.236634002998,-45.263325635304284,-39.916
831.333333,0,77.1442,199,1.26556,-34.71404244004158,-45.04454300927814,-39.96266620000011
831.366667,0,77.313,197,1.50423,-30.884244091728444,-44.15344878169661,-40.00933380000005
831.4,0,77.4786,197,1.37549,-37.38283480308384,-44.69873324974027,-40.056
831.433333,0,77.5568,197,1.53575,-33.427426684723564,-43.37206679834836,-40.184665379999856
831.466667,0,77.552,197,0.0672743,-31.244936,-40.320143,-40.31333462000014
831.5,0,77.6897,202,1.63241,-29.375983976236224,-38.87455373716983,-40.442
831.533333,0,77.8802,201,1.96085,-29.1710587561992,-38.003451197205315,-38.630684780002014
831.566667,0,77.8699,199,1.76703,-30.687878547462937,-39.53031324694215,-36.81931521999799
831.6,0,77.8828,201,2.07991,-26.715349372943646,-37.21540143818746,-35.008
831.633333,0,77.8747,201,0.193371,-19.9839915899835,-29.095336558201254,-33.61934722000154
831.666667,0,77.9544,200,2.02513,-19.30734378342831,-28.83555745937502,-32.23065278000319
831.7,0,77.8632,198,2.0134,-23.67425786552253,-33.10425985037985,-30.842
831.733333,0,77.8848,196,2.26702,-25.15221643974127,-34.88492721333148,-30.203006389999985
831.766667,0,77.8474,197,1.89623,-14.661632170801353,-22.884400579067737,-29.563993610000015
831.8,0,77.9181,196,1.58417,-18.314755377767565,-26.65285895035575,-28.925
831.833333,0,77.908,196,0.0635221,-18.913151068996928,-28.069301198557195,-28.747668439999593
831.866667,0,77.9301,196,1.81972,-20.39992280804836,-30.415963648246716,-28.570331559999804
831.9,0,77.9806,191,1.76255,-20.50739761812087,-30.589400251007543,-28.393
831.933333,0,77.9168,190,1.54715,-24.962987083092564,-34.82982879902568,-28.593997989999778
831.966667,0,77.9831,191,1.52177,-24.979369904286525,-34.70085013818543,-28.79500201000022
832.0,0,77.799,199,1.59256,-27.420352,-36.584392,-28.996
832.033333,0,77.9642,196,1.67749,-28.451561019126967,-37.33969580819402,-29.701326279999215
832.066667,0,78.1245,195,1.61226,-25.74724117860878,-35.79577030122937,-30.406673720000782
832.1,0,78.1858,194,1.6084,-30.188011367958968,-39.6678720948277,-31.112
832.133333,0,78.39,194,2.197,-29.213077411427072,-40.03804627947526,-32.341654369998636
832.166667,0,78.3824,194,0.0699837,-31.169383489827396,-39.781214545794626,-33.571345629997175
832.2,0,78.495,194,2.13783,-30.013767127504803,-39.68213453382127,-34.801
832.233333,0,78.5646,194,1.69021,-30.802565086526762,-39.62489983866043,-34.020341139999985
832.266667,0,78.6015,194,2.11771,-33.03696816476824,-40.748169104111,-33.23965886000002
832.3,0,78.7441,195,1.54035,-29.25956905028461,-40.129427320805966,-32.459
832.333333,0,78.732,195,0.0660232,-19.701729849575997,-28.955839097685427,-32.49633296000009
832.366667,0,78.8577,195,2.21825,-15.15327094633052,-25.23341346121426,-32.53366704000004
832.4,0,78.9886,195,2.14359,-22.811291327835693,-32.63744027412008,-32.571
832.433333,0,78.8744,195,1.72196,-27.060684153562015,-36.6072700582171,-32.616999539999945
832.466667,0,78.829,195,1.59934,-30.42381416786208,-40.02649648966459,-32.663000460000056
832.5,0,78.8175,195,0.0813064,-32.418192325692324,-40.90033817522106,-32.709
832.533333,0,78.6273,195,1.84022,-34.675787,-43.93407,-32.745999629999964
832.566667,0,78.415,195,1.57587,-33.34716351257642,-42.37354906369674,-32.78300037000004
832.6,0,78.173,195,1.54789,-32.9529582637566,-42.17319405582636,-32.82
832.633333,0,78.0356,195,1.61593,-34.25651887906095,-42.3759012251912,-35.08564400999748
832.666667,0,77.9334,195,0.328325,-33.067921300467866,-42.32803467535413,-37.35135598999479
832.7,0,77.8288,195,2.06629,-29.763142157732492,-39.802257993145034,-39.617
832.733333,0,77.8239,195,0.0741254,-30.783440181589143,-40.423369341241404,-40.02499592000001
832.766667,0,77.6407,195,1.83962,-30.182685451650052,-39.603890750109315,-40.43300407999999
832.8,0,77.6043,195,2.11634,-27.740267499987358,-39.282106999994376,-40.841
832.833333,0,77.5894,195,0.0699414,-29.647892958377735,-39.260652824310384,-40.73266774999975
832.866667,0,77.5689,195,2.59569,-31.164395584513077,-39.576341283303584,-40.62433224999988
832.9,0,77.5493,196,1.9195,-32.46245934364658,-40.2911154906494,-40.516
832.933333,0,77.5494,196,2.58151,-32.7488770272819,-40.76660935061714,-40.537666449999975
832.966667,0,77.3937,196,2.13184,-31.774779020950838,-39.24187134467637,-40.55933355000003
833.0,0,76.9538,195,2.59401,-32.54690537175816,-40.974819413428285,-40.581
833.033333,0,76.9522,195,0.0982465,-33.865909479114464,-42.25784868218297,-40.56900012000001
833.066667,0,77.0449,197,1.87875,-34.640777,-43.724571,-40.55699987999999
833.1,0,77.1351,195,1.72229,-27.43818211349431,-40.0485200596306,-40.545
